,song_id,artist_id,artist_name,artist_familiarity,artist_hotttnesss,title,song_hotttnesss,year,duration,loudness,tempo,artist_mbtags,release,release_7digitalid
0,SOMZWCG12A8C13C480,ARD7TVE1187B99BFB1,Casual,0.5817937658450281,0.4019975433642836,I Didn't Mean To,0.6021199899057548,0,218.93179,-11.197,92.198,none,Fear Itself,300848
1,SOCIWDW12A8C13D406,ARMJAGH1187FB546F3,The Box Tops,0.6306300375898077,0.4174996449709784,Soul Deep,,1969,148.03546,-9.843,121.274,classic pop and rock,Dimensions,300822
2,SOXVLOJ12AB0189215,ARKRRTF1187B9984DA,Sonora Santanera,0.4873567909281477,0.34342837829688244,Amor De Cabaret,,0,177.47546,-9.689,100.07,none,Las Numero 1 De La Sonora Santanera,514953
3,SONHOTT12A8C13493C,AR7G5I41187FB4CE6C,Adam Ant,0.6303823341467806,0.4542311565706205,Something Girls,,1982,233.40363,-9.013,119.293,uk,Friend Or Foe,287650
4,SOFSOCN12A8C143F5D,ARXR32B1187FB57099,Gob,0.6510456608317947,0.40172368550367865,Face the Ashes,0.6045007385888197,2007,209.60608,-4.501,129.738,none,Muertos Vivos,611336
5,SOYMRWW12A6D4FAB14,ARKFYS91187B98E58F,Jeff And Sheri Easter,0.5352927355118197,0.385470550555821,The Moon And I (Ordinary Day Album Version),,0,267.7024,-9.323,147.782,none,Ordinary Day,41838
6,SOMJBYD12A6D4F8557,ARD0S291187B9B7BF5,Rated R,0.5564956019129572,0.2619411773808474,Keepin It Real (Skit),,0,114.78159,-17.302,111.787,none,Da Ghetto Psychic,25824
7,SOHKNRJ12A6701D1F8,AR10USD1187B99F3F1,Tweeterfriendly Music,0.8011364469966873,0.6055071356905752,Drop of Rain,,0,189.57016,-11.642,101.43,none,Gin & Phonic,8876
8,SOIAZJW12AB01853F1,AR8ZCNI1187B9A069B,Planet P Project,0.42666785706940524,0.33227574659906806,Pink World,0.26586104921065007,1984,269.81832,-13.496,86.643,none,Pink World,358182
9,SOUDSGM12AC9618304,ARNTLGG11E2835DDB9,Clp,0.5505136978482137,0.42270564102939107,Insatiable (Instrumental Version),,0,266.39628,-6.697,114.041,none,Superinstrumental,692313
10,SOQHXMF12AB0182363,ARGSJW91187B9B1D6B,JennyAnyKind,0.3600311664643514,0.29626895431146333,Young Boy Blues,0.0,0,218.77506,-10.021,146.765,none,I Need You,539081
11,SOKEJEJ12A8C13E0D0,ARC43071187B990240,Wayne Watson,0.5451592956008632,0.35155586118563925,The Urgency (LP Version),0.26586104921065007,0,245.21098,-7.545,117.975,none,The Way Home,163874
12,SOMUYGI12AB0188633,ARL7K851187B99ACD2,Andy Andy,0.5775089743252977,0.3794821702804675,La Culpa,0.0,0,226.35057,-6.632,130.04,none,Placer & Castigo,575792
13,SORAMLE12AB017C8B0,ARHHO3O1187B989413,Bob Azzam,0.08551204710857879,0.25193652476242323,Auguri Cha Cha,0.0,0,191.84281,-7.75,137.334,none,Arrivederci,815863
14,SOBONFF12A6D4F84D8,ARIK43K1187B9AE54C,Lionel Richie,0.7766758556845541,0.5530719914619753,Tonight Will Be Alright,,1986,307.3824,-8.346,125.197,soul and reggae,Dancing On The Ceiling,25811
15,SOHUOAP12A8AE488E9,ARD842G1187B997376,Blue Rodeo,0.6364236449500698,0.4479354804795022,Floating,0.4051157216913865,1987,491.12771,-8.576,119.826,canadian,Outskirts,135122
16,SOUQQEA12A8C134B1B,ARIG6O41187B988BDD,Richard Souther,0.4199431484349393,0.33080635685585685,High Tide,0.3347065490692206,0,228.5971,-16.11,127.756,none,Cross Currents,149958
17,SOILPQQ12AB017E82A,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,0.3632805711099885,0.30667609347902947,Sohna Nee Sohna Data,,0,599.24853,-8.032,99.273,none,Panjtan Ka Ghulam,535188
18,SOXLBJT12A8C140925,ARYKCQI1187FB3B18F,Tesla,0.7071997638379363,0.5134632897021558,Caught In A Dream,0.6841361912294903,2004,290.29832,-5.271,150.062,none,Gold,372309
19,SOZVMJI12AB01808AF,ARNPAGP1241B9C7FD4,lextrical,0.32031437017067216,0.0,Synthetic Dream,0.0,0,165.69424,-6.787,138.331,none,Whatever Happened To Boredom?,541101
20,SOWTBJW12AC468AC6E,ARQGYP71187FB44566,Jimmy Wakely,0.39413853984589253,0.29153972708877773,Broken-Down Merry-Go-Round,,0,151.84934,-15.221,86.186,none,1942-1952 Jimmy Wakely,605134
21,SOBEBDG12A58A76D60,ARI3BMM1187FB4255E,Alice Stuart,0.4898162689820407,0.3285530150180186,Kassie Jones,0.0,0,220.78649,-8.514,110.382,none,All The Good Times,239740
22,SOZCTXZ12AB0182364,AR5KOSW1187FB35FF4,Elena,0.6774204652262298,0.37825468551016656,Setanta matins,0.3135621142479342,0,269.58322,-8.05,111.874,none,Un cafe_ setanta matins,386995
23,SOBBUGU12A8C13E95D,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,0.839962768151037,0.5418889720336469,Setting Fire to Sleeping Giants,0.6665278462297023,2004,207.77751,-4.264,166.862,rock and indie,Miss Machine,223365
24,SOBLGCN12AB0183212,AR47JEX1187B995D81,SUE THOMPSON,0.43541581815506936,0.3062422642462862,James (Hold The Ladder Steady),0.4952936212921635,1985,124.86485,-12.332,137.522,none,Sue Thompson - Her Very Best,652784
25,SOPSWQW12A6D4F8781,ARGIWFO1187B9B55B7,Five Bolt Main,0.6090637000310501,0.3636513650591166,Made Like This (Live),0.37598430150044215,0,225.09669,-5.908,164.672,none,Live,45730
26,SOZQDIU12A58A7BCF6,ARNTLGG11E2835DDB9,Clp,0.5505136978482137,0.42270564102939107,Superconfidential,,0,338.31138,-6.486,125.006,none,Strictly Confidential,672016
27,SONYPOM12A8C13B2D7,ARDNS031187B9924F0,Tim Wilson,0.4597971288376104,0.3499126116745628,I Think My Wife Is Running Around On Me (Taco Hell),,2005,186.48771,-4.516,90.022,none,The Real Twang Thang,160881
28,SOBZBAZ12A6D4F8742,AROUOZZ1187B9ABE51,Willie Bobo,0.5888271005018058,0.3796711247498673,Spanish Grease,,1997,168.25424,-9.616,127.025,none,Willie Bobo's Finest Hour,59744
29,SOVYKGO12AB0187199,ARH4Z031187B9A71F2,Faye Adams,0.3964552539172961,0.2992303679293693,Crazy Mixed Up World,0.0,1961,156.39465,-18.051,95.957,none,Shake A Hand,373723
30,SOGNCJP12A58A80271,ARB29H41187B98F0EF,Terry Callier,0.7068276713044582,0.4161730646266773,Do You Finally Need A Friend,0.4137398358601097,1972,342.56934,-11.939,110.189,classic pop and rock,Occasional Rain,228326
31,SOLLHMX12AB01846DC,AR1Y2PT1187FB5B9CE,John Wesley,0.5605579839038146,0.45278947675222264,The Emperor Falls,0.3775316449767025,0,484.62322,-15.335,138.007,none,The Emperor Falls,463514
32,SOYTPEP12AB0180E7B,ARAJPHH1187FB5566A,The Shangri-Las,0.6408071019636729,0.4182165181949368,Twist and Shout,0.4432913119053975,1964,164.80608,-10.922,130.1,none,Best of The Shangri-Las,643400
33,SOGXHEG12AB018653E,AR0RCMP1187FB3F427,Billie Jo Spears,0.5237146369702328,0.3846110839616365,It Makes No Difference Now,0.0,1992,133.32853,-9.983,160.839,none,20 Of Her Best,663761
34,SOOLYAZ12A6701F4A6,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),0.7936050803712417,0.42631795640769016,Laws Patrolling (Album Version),,0,173.66159,-7.762,41.993,none,Who Is Mike Jones?,12882
35,SOGOSOV12AF72A285E,ARGUVEV1187B98BA17,Sierra Maestra,0.5015447771039371,0.39273367554668775,¿Dónde va Chichi?,,1997,313.12934,-9.512,189.646,none,Tibiri Tabara,270281
36,SOJXVAH12A8C139700,ARPQ4Z01187FB3A736,Butthole Surfers,0.8093237930019529,0.48801984168567314,"Barking Dogs (From ""Piouhgd"")",0.593943075901947,0,450.84689,-9.063,130.586,texas,Piouhgd + Widowermaker!,244586
37,SOVXMTN12A8C135A18,ARNQAVF11F4C844C04,Despina Vandi,0.632559542284651,0.41168895978577885,OUTE ENA EFHARISTO,,0,303.09832,-8.879,128.292,none,Profities,157648
38,SORSECL12AB0182267,ARXUT4W1187FB48BEB,Javier Navarrete,0.5975412179723806,0.38265197113973687,Midnight Swim,0.3943948561005826,0,128.83546,-17.699,90.932,none,Cracks,644631
39,SOOGFBZ12AC3DF7FF2,ARDD1RC1187B9B52B4,Jacob Young,0.49544592177023467,0.294861261887382,In A Subtle Way,0.0,0,456.30649,-19.478,89.667,jazz and blues,Pieces Of Time,730551
