,Unnamed: 0,song_id,artist_id,artist_name,artist_familiarity,artist_hotttnesss,title,song_hotttnesss,year,duration,loudness,tempo,artist_mbtags,release,release_7digitalid
71,71,SOVJXVJ12A8C13517D,ARCCRTI11F4C845308,White Heart,0.4773647524835352,0.33750728916593725,Where The Thunder Roars (Tales Of Wonder Album Version),0.2658610492106501,0,298.84036000000003,-9.998,113.277,none,Tales Of Wonder,148547
76,76,SOWHYUG12A58A77FAB,ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,0.6940216479070769,0.4794076755751476,She Fell Away (2009 Digital Remaster),,0,269.26975,-11.751,144.60299999999998,seen live,Your Funeral... My Trial (2009 Digital Remaster),413222
270,270,SOTVEKK12A8C1392E1,ARX9YIP1187B98A656,RUN-DMC,0.6869889546292448,0.6066301517291853,Hard Times,,1984,234.65751,-12.75,119.67,hip-hop,Run DMC,293884
344,344,SOUPIRU12A6D4FA1E1,ARJIE2Y1187B994AB7,Line Renaud,0.4702122956890726,0.3200869267523748,Der Kleine Dompfaff,,0,152.92036000000002,-9.843,124.75,none,Platinum Line Renaud,272703
406,406,SOGXQRO12A8AE47D50,ARN03F71187FB4E3F4,Ayo,0.5225901845504569,0.3906412358783116,Complain,0.0,2006,212.71465,-11.26,128.689,soul and reggae,Joyful,350343
469,469,SOVIRCP12AB01891FE,AROF4LP1187FB41C51,Selena,0.7483207030670265,0.5458659170701919,Ven Conmigo/Perdoname (Live),0.0,0,388.51873,-5.68,106.43799999999999,none,La Leyenda,756949
507,507,SOSMXVH12A58A7CA6C,AR6PJ8R1187FB5AD70,Shakira,0.833178526109065,0.8042197974467215,Pienso En Ti,0.7011242862199815,1995,148.1922,-19.976,115.066,colombian,El Amor En Los Tiempos del Colera (Love In The Time Of Cholera),439614
513,513,SOQSYGY12A8C137E0F,AROF4LP1187FB41C51,Selena,0.7483207030670265,0.5458659170701919,Como La Flor (2005 Re-mastering) (Live),0.0,0,329.58648999999997,-7.9510000000000005,182.168,none,Unforgettable,205255
538,538,SOLXOSZ12A8C1432E2,ARN03F71187FB4E3F4,Ayo,0.5225901845504569,0.3906412358783116,I Love You,,0,229.25016000000002,-16.113,128.02200000000002,soul and reggae,Outta Babylon & I Love You,319515
660,660,SOSYMSX12A6310DFE2,ARH6W4X1187B99274F,Radiohead,0.8999349522317316,0.6836580602023751,Subterranean Homesick Alien,0.7750235506643848,1997,267.20608,-9.148,150.84799999999998,rock,OK Computer (Collector's Edition),405065
675,675,SOWJNKL12A81C21F17,ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,0.6940216479070769,0.4794076755751476,Still In Love,0.5917584508236884,2003,283.74159,-11.765999999999998,116.62100000000001,seen live,Nocturama,275954
759,759,SOPNFTX12A67020455,ARE8GLF1187FB52532,Red Hot Chili Peppers,0.8339679720525084,0.5769038155883393,Get On Top (Album Version),,1999,198.05995,-1.479,76.986,alternative rock,Californication,30956
767,767,SODKPPT12A8AE46A99,AROIHOI122988FEB8E,Mario Rosenstock,0.3345427836570606,0.04903438084848781,De Tree Little Pigs,,0,319.63383,-5.849,79.09,none,Gift 2,281000
802,802,SOQLXXN12AB01800CD,ARVN9FZ1187FB393F1,Snow Patrol,0.8183193591388943,0.667294595643469,Chocolate,,2003,181.57668999999999,-6.473,117.96600000000001,northern irish,Signal Fire,351029
