,song_id,artist_id,artist_name,artist_familiarity,artist_hotttnesss,title,song_hotttnesss,year,duration,loudness,tempo,artist_mbtags,release,release_7digitalid
1,SOCIWDW12A8C13D406,ARMJAGH1187FB546F3,The Box Tops,0.6306300375898077,0.4174996449709784,Soul Deep,,1969,148.03546,-9.843,121.274,classic pop and rock,Dimensions,300822
3,SONHOTT12A8C13493C,AR7G5I41187FB4CE6C,Adam Ant,0.6303823341467806,0.4542311565706205,Something Girls,,1982,233.40363,-9.013,119.293,uk,Friend Or Foe,287650
14,SOBONFF12A6D4F84D8,ARIK43K1187B9AE54C,Lionel Richie,0.7766758556845541,0.5530719914619753,Tonight Will Be Alright,,1986,307.3824,-8.346,125.197,soul and reggae,Dancing On The Ceiling,25811
23,SOBBUGU12A8C13E95D,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,0.839962768151037,0.5418889720336469,Setting Fire to Sleeping Giants,0.6665278462297023,2004,207.77751,-4.264,166.862,rock and indie,Miss Machine,223365
30,SOGNCJP12A58A80271,ARB29H41187B98F0EF,Terry Callier,0.7068276713044582,0.4161730646266773,Do You Finally Need A Friend,0.4137398358601097,1972,342.56934,-11.939,110.189,classic pop and rock,Occasional Rain,228326
39,SOOGFBZ12AC3DF7FF2,ARDD1RC1187B9B52B4,Jacob Young,0.49544592177023467,0.294861261887382,In A Subtle Way,0.0,0,456.30649,-19.478,89.667,jazz and blues,Pieces Of Time,730551
42,SONQBUB12A6D4F8ED0,ARFCUN31187B9AD578,The Rolling Stones,0.8148296561331122,0.7357656929506414,Angie (1993 Digital Remaster),0.8344926198909054,0,271.49016,-10.358,139.333,british,Jump Back - The Best Of The Rolling Stones_ '71-'93,42595
46,SOTSEJY12AB0180F56,ART3O5Z1187B9AB043,Stevie Ray Vaughan,0.7337989404362274,0.544257505724526,Crossfire,,1992,248.78975,-7.805,116.721,jazz and blues,Greatest Hits,417945
47,SOTSETT12AB01863B8,AR5U94U1187FB5CDCF,John Hammond,0.5906929179471623,0.45281783769711387,I Can't Be Satisfied,,2002,195.3171,-10.7,123.142,folk,Bluesman,575531
50,SOGKIWV12A6D4F86C4,ARS1OWB1187B99EEAD,The New York Dolls,0.717670524728552,0.4793084593382274,Human Being,0.5616924111789523,1974,344.05832,-9.253,154.953,punk,Too Much Too Soon,74655
52,SOFHBAR12A6701D0FE,AROEL1B1187B988B90,Lost Boyz,0.5697411522818971,0.41224060053560735,Certain Things We Do,0.4051157216913865,1997,269.7922,-11.043,90.218,american,Love_ Peace & Nappiness,14592
55,SODHVES12A6701CE6B,AR3793X1187FB50CB3,Chris Rea,0.643182772912233,0.500691340913453,Driving Home For Christmas,0.767727748373397,1986,241.162,-8.531,180.149,rock,The Road To Hell Part 2,17220
